id,data,label
7537,"In the Contract the following words and expressions shall have the meanings stated, except where the context requires otherwise.",NON
7538,“Advance Payment Guarantee” means the guarantee under Sub-Clause.,NON
7539,“Base Date” means the date 28 days before the latest date for submission of the Tender.,NON
7540,"“Claim” means a request or assertion by one Party to the other Party for an entitlement or relief under any Clause of these Conditions or otherwise in connection with, or arising out of, the Contract or the execution of the Works.",NON
7541,“Commencement Date” means the date as stated in the Employer’s Notice issued under Sub-Clause.,NON
7542,“Compliance Verification System” means the compliance verification system to be prepared and implemented by the Contractor for the Works in accordance with Sub-Clause.,NON
7543,“Conditions of Contract” or “these Conditions” means these General Conditions as amended by the Particular Conditions.,NON
7544,"“Contract” means the Contract Agreement, any addenda referred to in the Contract Agreement, these Conditions, the Employer’s Requirements, the Schedules, the Tender, the JV Undertaking and the further documents which are listed in the Contract Agreement.",NON
7545,"“Contract Agreement” means the agreement entered into by both Parties in accordance with Sub-Clause, including any annexed memoranda.",NON
7546,"“Contract Data” means the pages, entitled contract data which constitute Part A of the Particular Conditions.",NON
7547,"“Contract Price” means the agreed amount stated in the Contract Agreement for the execution of the Works, and includes adjustments in accordance with the Contract.",NON
7548,“Contractor” means the person named as contractor in the Contract Agreement and the legal successors in title of such person.,NON
7549,"“Contractor’s Documents” means the documents prepared by the Contractor as described in Sub-Clause, including calculations, digital flies, computer programs and other software, drawings, manuals, models, specifications and other documents of a technical nature.",NON
7550,"“Contractor’s Equipment” means all apparatus, equipment, machinery, construction plant, vehicles and other items required by the Contractor for the execution of the Works.",NON
7551,"Contractor’s Equipment excludes Temporary Works, Plant, Materials and any other things intended to form or forming part of the Permanent Works.",NON
7552,"“Contractor’s Personnel” means the Contractor’s Representative and all personnel whom the Contractor utilises on Site or other places where the Works are being carried out, including the staff, labour and other employees of the Contractor and of each Subcontractor.",NON
7553,and any other personnel assisting the Contractor in the execution of the Works.,NON
7554,"“Contractor’s Representative” means the natural person named by the Contractor in the Contract or appointed by the Contractor under Sub-Clause, who acts on behalf of the Contractor.",NON
7555,"“Cost” means all expenditure reasonably incurred by the Contractor in performing the Contract, whether on or off the Site, including taxes, overheads and similar charges, but does not include profit.",NON
7556,"Where the Contractor is entitled under a Sub-Clause of these Conditions to payment of Cost, it shall be added to the Contract Price.",NON
7557,“Cost Plus Profit” means Cost plus the applicable percentage for profit stated in the Contract Data.,NON
7558,"Such percentage shall only be added to Cost, and Cost Plus Profit shall only be added to the Contract Price, where the Contractor is entitled under a Sub-Clause of these Conditions to payment of Cost Plus Profit.",NON
7559,"“Country” means the country in which the Site is located, where the Permanent Works are to be executed.",NON
7560,"“DAAB” or “Dispute Avoidance/Adjudication Board” means the sole member or three members so named in the Contract, or appointed under Sub-Clause.",NON
7561,"“DAAB Agreement” means the agreement signed or deemed to have been signed by both Parties and the sole member or each of the three members of the DAAB in accordance with Sub-Clause, incorporating by reference the General Conditions of Dispute Avoidance/Adjudication Agreement contained in the Appendix to these General Conditions with such amendments as are agreed.",NON
7562,“Date of Completion” means the date stated in the Taking-Over Certificate issued by the Employer.,NON
7563,"or, if the last paragraph of Sub-Clause applies, the date on which the Works or Section are deemed to have been completed in accordance with the Contract.",NON
7564,"or, if taking over of part of the Works is permitted under Sub-Clause, the date on which such part are taken over or used by the Employer.",NON
7565,“day” means a calendar day.,NON
7566,"“Daywork Schedule” means the document entitled daywork schedule included in the Contract, showing the amounts and manner of payments to be made to the Contractor for labour, materials and equipment used for daywork under Sub-Clause.",NON
7567,"“Defects Notification Period” or “DNP” means the period for notifying defects and damage in the Works or a Section, as the case may be, under Sub-Clause, as stated in the Contract Data, and as may be extended under Sub-Clause.",NON
7568,This period is calculated from the Date of Completion of the Works or Section.,NON
7569,“Delay Damages” means the damages for which the Contractor shall be liable under Sub-Clause for failure to comply with Sub-Clause.,NON
7570,"“Dispute” means any situation where one Party makes a claim against the other Party, the other Party rejects the claim in whole or in part and the first Party does not acquiesce.",NON
